dir,numBytesSnt,minPktSz,stdIAT,ipMindIPID,ipMaxTTL,tcpPSeqCnt,tcpInitWinSz,tcpAveWinSz,tcpMSS,tcpWS,tcpRTTAckTripMax,entropy,class
B,4376,0,0.01341,1,122,6,15409152,2641602,1380,256,0.056893,3.9989,0
A,792,0,0.07308,1,64,8,3737600,143762.5,1460,128,0.05645,3.437,0
B,4512,0,0.026452,1,122,6,15409152,2641602,1380,256,0.334402,3.999,0
A,792,0,0.017356,1,64,7,3737600,188024.7,1460,128,0.003613,3.4252,0
B,4375,0,0.014215,1,122,7,15409152,1867756,1380,256,0.055691,3.9981,0
A,517,0,0.012446,0,64,1,3737600,446330.4,1460,128,0.023682,2.8733,0
B,3779,0,0.011363,1,122,5,15409152,3746426,1380,256,0.034701,3.9979,0
A,792,0,0.016899,1,64,6,3737600,176285,1460,128,0.007497,3.4303,0
B,4377,0,0.014698,1,122,6,15409152,2641237,1380,256,0.056595,3.9985,0
A,0,0,0,65535,64,0,0,0,0,1,0.000032,0,0
B,0,0,0,65535,122,1,244,244,0,1,0,0,0
A,792,0,0.088544,0,64,6,3737600,123747.3,1460,128,0.010076,3.4261,0
B,5343,0,0.089275,1,122,7,15409152,1867605,1380,256,0.363229,3.9987,0
A,792,0,0.068206,1,64,8,3737600,100869,1460,128,0.003157,3.4244,0
B,5344,0,0.069979,1,122,8,15409152,946727.2,1380,256,0.269778,3.9985,0
A,792,0,0.017229,0,64,6,3737600,122964.7,1460,128,0.007228,3.4125,0
B,4376,0,0.014794,1,122,7,15409152,1867605,1380,256,0.056693,3.9979,0
A,792,0,0.073317,1,64,9,3737600,113954.3,1460,128,0.297145,3.4135,0
B,5343,0,0.097965,1,122,7,15409152,1867861,1380,256,0.056424,3.9981,0
A,792,0,0.070894,1,64,10,3737600,92162.48,1460,128,0.293938,3.4391,0
B,5345,0,0.095872,1,122,8,15409152,1326063,1380,256,0.056018,3.9982,0
A,792,0,0.088734,1,64,8,3737600,144963.3,1460,128,0.007103,3.3966,0
B,5343,0,0.089465,1,122,7,15409152,1867605,1380,256,0.363138,3.999,0
A,792,0,0.017543,1,64,7,3737600,186262.8,1460,128,0.003148,3.4876,0
B,3431,0,0.013359,1,122,6,15409152,2641602,1380,256,0.055954,3.9963,0
A,3368,0,1.809898,1,64,84,3737600,266829.7,1460,128,10.02072,3.9472,0
B,225998,0,1.634316,1,122,106,16776960,50534.39,1408,256,10.06402,3.938,0
A,11962,0,1.098233,1,64,250,3737600,872041.4,1460,128,10.2433,3.9527,0
B,1162489,0,1.031204,1,122,282,16776960,60748.67,1408,256,9.633138,3.8801,0
A,1353,0,0.101669,1,64,12,3737600,66173.29,1460,128,0.48036,3.7277,0
B,3833,0,0.148814,1,229,10,6872832,305219.1,1460,256,0.086254,3.8969,0
A,7374,0,2.428315,1,64,177,3737600,731627,1460,128,10.22481,3.752,0
B,575492,0,2.110356,1,246,233,7413760,49407.93,1460,256,0.200466,3.9445,0
A,792,0,0.007661,1,64,6,3737600,250387.5,1460,128,0.003092,3.4386,0
B,3446,0,0.008323,1,87,7,7106560,603488.6,1400,256,0.020428,3.9963,0
A,792,0,0.010059,0,64,6,3737600,122689.9,1460,128,0.011376,3.4378,0
B,3446,0,0.012783,1,89,7,7106560,603488.6,1400,256,0.028005,3.9979,0
A,792,0,0.010705,0,64,6,3737600,122689.9,1460,128,0.025526,3.4547,0
B,3445,0,0.015945,1,89,7,7106560,603488.6,1400,256,0.027819,3.998,0
A,792,0,0.010637,0,64,6,3737600,122689.9,1460,128,0.024047,3.4513,0
B,3446,0,0.015809,1,89,7,7106560,603488.6,1400,256,0.028,3.9982,0
A,792,0,0.010352,0,64,6,3737600,122689.9,1460,128,0.021714,3.4326,0
B,3445,0,0.015578,1,89,7,7106560,603488.6,1400,256,0.027784,3.9977,0
A,792,0,0.010666,1,64,6,3737600,250387.5,1460,128,0.021817,3.466,0
B,3446,0,0.016538,1,89,7,7106560,603488.6,1400,256,0.028064,3.9985,0
A,792,0,0.008609,0,64,6,3737600,122689.9,1460,128,0.020755,3.4753,0
B,3447,0,0.01223,1,89,7,7106560,603488.6,1400,256,0.027885,3.9982,0
A,792,0,0.00948,0,64,7,3737600,91368.95,1460,128,0.020154,3.4667,0
B,3447,0,0.013954,1,89,8,7106560,428626.5,1400,256,0.028039,3.9983,0
A,0,0,0.024435,28677,64,0,3737600,2616320,1460,128,0.000015,0,0
B,0,0,0,65535,53,1,14950400,15000000,1460,512,0.069097,0,0
A,0,0,0.024417,43617,64,0,3737600,2616320,1460,128,0.000008,0,0
B,0,0,0,65535,53,1,14950400,15000000,1460,512,0.069055,0,0
A,808,0,0.028852,0,64,7,3737600,64834.35,1460,128,0.035015,3.4275,0
B,4071,0,0.034808,1,53,9,14950400,891482.6,1460,512,0.074357,3.9983,0
A,808,0,0.029237,0,64,7,3737600,93962.8,1460,128,0.007054,3.4459,0
B,5653,0,0.030969,1,53,8,14950400,1259942,1460,512,0.079099,3.9995,0
A,808,0,0.028327,0,64,7,3737600,93962.8,1460,128,0.014232,3.4618,0
B,5653,0,0.030628,1,53,8,14950400,1259942,1460,512,0.072836,3.9995,0
A,808,0,0.027983,0,64,8,3737600,72050.32,1460,128,0.011042,3.435,0
B,5653,0,0.03066,1,53,9,14950400,891332.1,1460,512,0.072564,3.9989,0
A,835,0,0.268067,1,64,7,3737600,187539,1460,128,0.021981,3.362,0
B,4099,0,0.274992,1,52,8,14950400,1259727,1460,512,1.031608,3.8345,0
A,868,0,0.031914,0,64,6,3737600,2263656,1460,128,0.019903,3.4118,0
B,3572,0,0.034712,1,51,7,12960,15786.71,1452,1,0.08697,3.8873,0
A,868,0,0.085953,1,64,8,3737600,104755.5,1460,128,0.035593,3.4235,0
B,7798,0,0.089101,1,45,8,3737600,314854.9,1440,512,0.246378,3.6617,0
A,868,0,0.031806,0,64,7,3737600,2269730,1460,128,0.031814,3.4004,0
B,3572,0,0.038147,1,51,8,12960,15877.92,1452,1,0.086571,3.8872,0
A,868,0,0.033599,0,64,7,3737600,2269730,1460,128,0.034822,3.3895,0
B,3572,0,0.041085,1,52,8,12960,15877.92,1452,1,0.085996,3.8898,0
A,0,0,0,65535,64,0,0,0,0,1,0.000017,0,0
B,0,0,0,65535,45,1,15,15,0,1,0,0,0
A,868,0,0.088126,1,64,15,3737600,6320664,1460,128,0.002055,3.4388,0
B,8615,0,0.091223,1,45,13,12960,5128.81,1340,1,0.252555,3.4333,0
A,868,0,0.307568,1,64,7,3737600,130464.2,1460,128,0.003442,3.4257,0
B,3543,0,0.339684,1,40,5,14950400,2538578,1452,512,1.21446,3.8855,0
A,0,0,0,65535,64,0,0,0,0,1,0.00002,0,0
B,0,0,0,65535,40,1,62,62,0,1,0,0,0
A,868,0,0.06761,0,64,18,3737600,3771811,1460,128,0.019562,3.4222,0
B,27173,0,0.061366,1,44,17,12960,7313.167,1452,1,0.257426,3.3824,0
A,0,0,0,65535,64,0,0,0,0,1,0.000025,0,0
B,0,0,0,65535,40,1,7300,7300,0,1,0,0,0
A,808,0,0.028716,1,64,7,3737600,189771.8,1460,128,0.037389,3.4469,0
B,4071,0,0.035606,1,53,7,14950400,1786528,1460,512,0.073756,3.9986,0
A,808,0,0.029088,1,64,5,3737600,240421,1460,128,0.001826,3.4898,0
B,4071,0,0.027045,1,53,7,14950400,1786784,1460,512,0.074584,3.9982,0
A,808,0,0.029253,1,64,8,3737600,147787.8,1460,128,0.012306,3.4193,0
B,5653,0,0.030509,1,53,9,14950400,891661.7,1460,512,0.073225,3.9988,0
A,808,0,0.068119,1,64,8,3737600,114068.8,1460,128,0.178902,3.4275,0
B,4071,0,0.076071,1,53,6,14950400,1260092,1460,512,0.208006,3.9989,0
A,868,0,0.034988,1,64,8,3737600,4692148,1460,128,0.03226,3.4204,0
B,3572,0,0.039666,1,51,8,12960,15877.92,1452,1,0.086689,3.8868,0
A,639,0,0.240402,1,64,4,3737600,3824494,1460,128,0.002867,3.7587,0
B,152,0,0.034061,1,52,5,12960,14963.1,1452,1,0.084691,3.8152,0
A,868,0,0.099071,1,64,14,3737600,7977381,1460,128,0.004025,3.4385,0
B,13722,0,0.096284,1,44,13,12960,7354.839,1452,1,0.263413,3.3757,0
A,868,0,0.102254,1,64,14,3737600,7789096,1460,128,0.005192,3.4181,0
B,13749,0,0.099626,1,44,13,12960,7354.839,1452,1,0.271834,3.3823,0
A,808,0,0.029104,1,64,8,3737600,144948.6,1460,128,0.002079,3.4382,0
B,4071,0,0.028948,1,53,8,14950400,1260198,1460,512,0.070263,3.9985,0
A,1035,0,1.195402,1,64,12,3737600,5302902,1460,128,0.0343,3.5789,0
B,7049,0,1.343198,1,44,8,11520,21058.96,1452,1,5.072594,3.8529,0
A,835,0,0.199441,1,64,8,3737600,143181.3,1460,128,0.003166,3.3647,0
B,4070,0,0.189418,1,53,9,14950400,891587.9,1460,512,0.807396,3.8333,0
A,868,0,0.080854,1,64,21,3737600,6613662,1460,128,0.006537,3.406,0
B,17968,0,0.076112,1,45,16,12960,7306.452,1452,1,0.248784,3.6011,0
A,808,0,0.032218,1,64,8,3737600,144907.5,1460,128,0.002187,3.472,0
B,4071,0,0.031682,1,53,7,14950400,1260198,1460,512,0.086523,3.9973,0
A,868,0,0.09196,1,64,18,3737600,6097246,1460,128,0.006314,3.4087,0
B,17965,0,0.087362,1,44,15,12960,7326.872,1452,1,0.284662,3.6994,0
A,645,0,1.33633,1,64,7,3737600,3833446,1460,128,5.022652,3.749,0
B,304,0,1.486044,1,44,7,11520,19831.25,1452,1,0.273193,3.8134,0
A,808,0,0.068807,1,64,8,3737600,114068.8,1460,128,0.181823,3.4597,0
B,4071,0,0.07703,1,53,6,14950400,1260272,1460,512,0.211176,3.9985,0
A,1177,0,18.01048,1,64,21,3737600,63061.5,1460,128,58.97873,3.5988,0
B,12855,0,21.39483,1,122,14,15409152,136281.8,1380,256,0.056815,3.9996,0
A,868,0,0.153362,1,64,10,3737600,5977282,1460,128,0.005078,3.4208,0
B,8688,0,0.144517,1,44,8,12960,7766.125,1452,1,0.54092,3.6687,0
A,868,0,0.036061,1,64,7,3737600,4683470,1460,128,0.004505,3.4097,0
B,3572,0,0.035968,1,51,8,12960,16035.5,1452,1,0.086908,3.8915,0
A,1177,0,18.00447,1,64,21,3737600,57445.82,1460,128,58.97799,3.6108,0
B,11181,0,20.50169,1,122,16,15409152,99139.23,1380,256,0.055716,3.9992,0
A,1919,0,17.18318,1,64,24,3737600,51069.47,1460,128,58.97879,3.7028,0
B,6091,0,16.28078,1,122,31,15409152,66029.19,1380,256,0.05601,3.9993,0
A,219,0,22.5447,1,64,12,307,307,0,1,58.97496,3.9232,0
B,212,0,24.56764,1,122,7,250,175,0,1,4.329668,3.947,0
A,3056,0,1.994338,1,64,11,3737600,38133.07,1460,128,11.54157,3.0163,0
B,8188,0,3.512292,0,45,7,3737600,446501.3,1440,512,0.718301,3.6891,0
A,2546,0,14.90494,1,64,36,3737600,91230.64,1460,128,58.40424,3.5789,0
B,20407,0,15.09409,1,122,37,15409152,67084.63,1380,256,0.098286,3.9983,0
A,0,0,0,65535,64,0,0,0,0,1,0.000028,0,0
B,0,0,0,65535,45,1,15,15,0,1,0,0,0
A,1610,0,7.366457,1,64,170,3737600,561375.1,1460,128,58.67738,3.7744,0
B,451565,0,5.888286,1,122,274,15409152,63744,1380,256,0.074772,3.997,0
A,1746,0,15.38312,1,64,33,3737600,56830.52,1460,128,58.7739,3.6349,0
B,8916,0,15.78831,1,122,33,15409152,63571.02,1380,256,0.056465,3.9988,0
A,1405,0,15.04718,1,64,34,3737600,105608.3,1460,128,58.47117,3.5734,0
B,31480,0,16.93848,1,122,27,15409152,64192.35,1380,256,0.056281,3.9991,0
A,2336,0,10.86845,1,64,76,3737600,240752.5,1460,128,58.85482,3.6649,0
B,114688,0,11.35278,1,122,71,15409152,66811.12,1380,256,0.055419,3.9988,0
A,1462,0,19.63615,1,64,16,3737600,44809.87,1460,128,58.41122,3.7601,0
B,4038,0,21.85813,1,122,15,15409152,167545.3,1380,256,0.081323,3.9988,0
A,1328,0,18.54786,1,64,20,3737600,48479.56,1460,128,58.50968,3.6998,0
B,4988,0,22.27044,1,122,12,15409152,212099.4,1380,256,0.056747,3.9984,0
A,4321,0,9.441427,1,64,99,3737600,243772.6,1460,128,58.57606,3.6214,0
B,108788,0,8.964987,1,122,113,15409152,76277.98,1380,256,0.127849,3.9981,0
A,1170,0,8.463888,1,64,17,3737600,72137.79,1460,128,0.043579,3.5623,0
B,17892,0,8.47513,1,55,19,3706880,26755.59,1460,128,40.03566,3.824,0
A,2140,0,17.85927,1,64,23,3737600,51315.25,1460,128,58.93122,3.6083,0
B,5851,0,18.18874,1,122,24,15409152,68690.52,1380,256,0.065555,3.9982,0
A,2558,0,7.658339,1,64,19,3737600,53572.69,1460,128,38.39649,3.2426,0
B,8944,0,8.516197,1,45,17,3737600,11449.85,1440,512,10.75202,3.6625,0
A,4782,0,4.921521,1,64,429,3737600,855273.7,1460,128,58.9599,3.5993,0
B,878448,0,4.907096,1,122,422,15409152,86015.99,1380,256,0.056688,3.9983,0
A,5225,0,18.19068,1,64,16,3737600,3978090,1460,128,86.72966,3.9319,0
B,653,0,19.98235,1,52,15,12960,17403.63,1452,1,0.12415,3.9753,0
A,811,0,0.034996,0,64,7,3737600,45297.11,1460,128,0.004,3.4344,0
B,4388,0,0.033697,1,55,12,57920,16389.76,1460,4,0.089766,3.852,0
A,811,0,0.035143,0,64,7,3737600,45143.49,1460,128,0.005351,3.4276,0
B,4388,0,0.034178,1,55,12,57920,16389.76,1460,4,0.089717,3.8573,0
A,0,0,0,65535,64,0,0,0,0,1,0.000024,0,0
B,30,30,0,65535,55,1,3888,3888,0,1,0,3.8451,0
A,0,0,0,65535,64,0,0,0,0,1,0.000017,0,0
B,30,30,0,65535,55,1,3888,3888,0,1,0,3.8836,0
A,0,0,0.35366,1,64,0,3737600,3737600,1460,128,0,0,0
A,1024,0,4.727839,1,64,20,3737600,5388028,1460,128,12.05027,3.5341,0
B,4880,0,4.804109,1,46,9,12960,65412.7,1452,1,0.281167,3.8806,0
A,599,0,1.528705,0,64,6,3737600,119112.8,1460,128,5.620817,3.5466,0
B,178,0,1.581372,1,53,10,3706880,178452.1,1460,128,0.088215,3.7332,0
A,0,0,0,65535,64,0,3737600,3737600,1460,128,0,0,0
A,811,0,0.036773,1,64,7,3737600,144311.1,1460,128,0.006834,3.4192,0
B,4388,0,0.034288,1,55,12,28960,8720.278,1460,4,0.088029,3.8563,0
A,811,0,0.036584,1,64,7,3737600,143671.3,1460,128,0.007608,3.45,0
B,4388,0,0.034184,1,54,12,28960,8720.278,1460,4,0.088073,3.8517,0
A,811,0,0.036548,1,64,6,3737600,188494.6,1460,128,0.006035,3.409,0
B,4388,0,0.0349,1,55,11,28960,8895.255,1460,4,0.088524,3.8506,0
A,0,0,0.360932,1,64,0,3737600,3737600,1460,128,0,0,0
A,1174,0,7.949606,1,64,20,3737600,114171.3,1460,128,0.040842,3.8836,0
B,43472,0,7.528008,1,54,25,3706880,23250.7,1460,128,39.9505,3.998,0
A,1745,0,2.889597,0,64,41,3737600,109743.9,1460,128,0.141758,3.6339,0
B,161240,0,2.615,1,53,57,57920,10886.4,1460,4,20.29059,3.8538,0
A,1841,0,3.680861,1,64,23,3737600,102592.4,1460,128,0.186915,3.621,0
B,35803,0,3.415587,1,54,31,28960,5818.726,1460,4,19.95702,3.8556,0
A,1735,0,17.93384,0,64,20,3737600,28861.45,1460,128,58.97968,3.7128,0
B,9928,0,18.30408,1,89,23,7106560,25201.8,1400,256,0.054454,3.9986,0
A,1227,0,19.52877,0,64,15,3737600,24613.57,1460,128,58.98743,3.6549,0
B,4381,0,21.18755,1,87,14,7106560,48730.56,1400,256,0.022436,3.9986,0
A,4915,0,4.338212,0,64,506,3737600,197761.7,1460,128,58.9796,3.6405,0
B,1096440,0,4.104524,1,89,567,7106560,30105.6,1400,256,0.027858,3.9982,0
A,45471,0,3.472418,1,64,912,3737600,1334144,1460,128,58.98223,3.6747,0
B,1864738,0,3.259797,1,122,1024,15409152,213459.1,1380,256,0.212939,3.9987,0
A,2833,0,6.808959,0,64,201,3737600,154719.7,1460,128,58.97968,3.6229,0
B,434421,0,6.386316,1,89,232,7106560,24012.8,1400,256,0.055893,3.9986,0
A,3253,0,17.60062,1,64,39,3737600,57593.71,1460,128,58.9718,3.6715,0
B,6721,0,17.14487,1,122,44,15409152,69095.71,1380,256,0.190027,3.9969,0
A,1174,0,8.118438,1,64,19,3737600,111515.1,1460,128,0.002151,3.8852,0
B,43471,0,7.958154,1,54,22,3706880,24194.07,1460,128,39.99168,3.9958,0
A,2424,0,9.619545,1,64,165,3737600,363849.6,1460,128,59.05174,3.5874,0
B,364608,0,9.103083,1,122,185,15409152,67839.99,1380,256,0.055942,3.9995,0
A,6558,0,7.685818,1,64,257,3737600,434791,1460,128,58.97198,3.6142,0
B,441427,0,7.069658,1,122,304,15409152,79595.54,1380,256,0.064162,3.9974,0
A,7257,0,12.26179,0,64,57,3737600,63187.36,1460,128,58.98205,3.5973,0
B,41655,0,13.52159,1,87,47,7106560,22312.88,1400,256,0.069912,3.998,0
A,2613,0,18.03078,0,64,21,3737600,28890.48,1460,128,58.95649,3.6362,0
B,12031,0,18.97462,1,87,22,7106560,26771.42,1400,256,0.041479,3.9977,0
A,1024,0,4.329876,1,64,18,3737600,43948.18,1460,128,10.24543,3.5264,0
B,8520,0,4.452495,1,43,13,262144,19065.09,1452,32,8.572262,3.8677,0
A,1106,0,4.61404,1,64,12,3737600,48847.26,1460,128,10.15131,3.8231,0
B,1192,0,4.652114,1,55,9,1853440,24071.22,1460,128,9.052085,3.9871,0
A,1109,0,4.477632,1,64,15,3737600,51027.86,1460,128,10.15604,3.842,0
B,8453,0,4.482674,1,53,13,7475200,23964.15,1460,512,9.034989,3.9974,0
A,1100,0,4.527548,1,64,14,3737600,53513.41,1460,128,10.15235,3.8235,0
B,8453,0,4.482436,1,53,13,3706880,17648.98,1460,256,9.039637,3.9921,0
A,2599,0,3.718543,1,64,30,3737600,144832.7,1460,128,10.15123,3.7647,0
B,55852,0,3.503335,1,55,34,1853440,13904.69,1460,128,8.903738,3.8429,0
A,1449,0,4.423306,1,64,16,3737600,47762.36,1460,128,10.15246,3.753,0
B,4649,0,4.375153,1,53,15,3706880,14930.48,1460,256,9.16103,3.8168,0
A,1027,0,20.71142,1,64,13,3737600,5177839,1460,128,58.21632,3.3774,0
B,3664,0,22.29182,1,52,14,12960,16502.68,1452,1,0.124052,3.8881,0
A,1296,0,17.96218,1,64,21,3737600,6209272,1460,128,58.07738,3.5973,0
B,10284,0,20.12779,1,45,16,12960,7309.217,1340,1,0.253783,3.6764,0
A,1387,0,18.15754,1,64,20,3737600,51279.74,1460,128,60.40937,3.5906,0
B,8267,0,20.97959,1,45,17,3737600,20075.62,1440,512,0.2993,3.6379,0
A,2036,0,16.3681,1,64,27,3737600,70050.44,1460,128,58.7817,3.5999,0
B,16887,0,17.12384,1,52,28,14950400,35778.86,1460,512,0.425214,3.9013,0
A,1941,0,13.34738,1,64,47,3737600,160737.3,1460,128,58.23209,3.558,0
B,61343,0,14.45774,1,53,41,14950400,35738.44,1460,512,0.85066,3.9611,0
A,2005,0,18.16294,1,64,19,3737600,5399141,1460,128,58.03841,3.6079,0
B,7044,0,21.24305,1,48,16,12960,8063.358,1340,1,0.309142,3.9031,0
A,1989,0,14.38429,1,64,38,3737600,8361449,1460,128,58.90902,3.6898,0
B,28389,0,15.88508,1,44,30,12960,7300.044,1452,1,0.29852,3.4146,0
A,1426,0,15.46037,1,64,32,3737600,112775.7,1460,128,58.23241,3.6593,0
B,38326,0,16.759,1,53,28,14950400,33248.01,1460,512,0.103116,3.9967,0
A,1922,0,18.44348,1,64,19,3737600,50888.94,1460,128,58.86355,3.5394,0
B,4443,0,20.75942,1,40,17,14950400,84178.47,1452,512,0.293599,3.883,0
A,1862,0,19.10712,1,64,17,3737600,5195125,1460,128,58.21608,3.6609,0
B,4031,0,21.69838,1,50,14,12960,18555.79,1452,1,0.184471,3.8985,0
A,2399,0,16.11146,1,64,20,3737600,44125.62,1460,128,59.3693,3.2201,0
B,5054,0,19.29868,1,45,18,3737600,13753.85,1440,512,2.624112,3.8215,0
A,1993,0,16.13252,1,64,28,3737600,7962999,1460,128,58.79021,3.536,0
B,15356,0,18.89966,1,44,21,12960,7303.161,1452,1,0.30295,3.698,0
A,868,0,0.112279,1,64,7,3737600,132061.5,1460,128,0.027646,3.4216,0
B,4485,0,0.106768,1,44,9,231680,28558.07,1460,16,0.30721,3.8889,0
A,868,0,0.110074,1,64,7,3737600,131751.6,1460,128,0.043474,3.4063,0
B,4485,0,0.107673,1,44,9,231680,28558.07,1460,16,0.308681,3.8878,0
A,868,0,0.111211,1,64,7,3737600,131751.6,1460,128,0.046056,3.4153,0
B,4485,0,0.108426,1,44,9,233600,28789.37,1460,16,0.31539,3.8903,0
A,0,0,0.000003,0,64,0,0,0,0,1,0.000018,0,0
B,0,0,0.000008,1,44,3,1039,1039,0,1,0.000007,0,0
A,0,0,0.000021,0,64,0,0,0,0,1,0.000014,0,0
B,0,0,0.000019,1,44,3,1039,1039,0,1,0.000055,0,0
A,0,0,0.001767,0,64,0,0,0,0,1,0.000011,0,0
B,0,0,0.001763,1,44,3,1047,1047,0,1,0.004586,0,0
A,0,0,0.571415,6384,64,0,3737600,2616320,1460,128,0.000013,0,0
B,0,0,0,65535,44,1,231680,231680,1460,16,1.616193,0,0
A,868,0,0.10036,0,64,6,3737600,60500.1,1460,128,0.035607,3.4271,0
B,4485,0,0.095807,1,50,12,233600,20880.82,1460,16,0.246405,3.8931,0
A,868,0,0.100884,0,64,6,3737600,60500.1,1460,128,0.041868,3.4073,0
B,4485,0,0.096565,1,50,12,233600,20880.82,1460,16,0.239575,3.891,0
A,868,0,0.100822,0,64,6,3737600,60500.1,1460,128,0.029077,3.4229,0
B,4485,0,0.095838,1,50,12,233600,20880.82,1460,16,0.246404,3.8914,0
A,0,0,0,65535,64,0,0,0,0,1,0.000018,0,0
B,0,0,0,65535,44,1,1039,1039,0,1,0,0,0
A,0,0,0,65535,64,0,0,0,0,1,0.00002,0,0
B,0,0,0,65535,44,1,1039,1039,0,1,0,0,0
A,868,0,0.099665,1,64,8,3737600,100685.2,1460,128,0.191566,3.4227,0
B,4685,0,0.10634,1,44,9,231680,24820.26,1460,16,0.300499,3.8875,0
A,868,0,0.094214,0,64,7,3737600,45297.11,1460,128,0.215216,3.4138,0
B,4685,0,0.097964,1,44,12,231680,20717.39,1460,16,0.28841,3.894,0
A,868,0,0.102113,1,64,6,3737600,176812,1460,128,0.058234,3.4022,0
B,4685,0,0.103732,1,44,8,233600,34173.36,1460,16,0.293402,3.8924,0
A,868,0,0.106677,1,64,7,3737600,131988.8,1460,128,0.049448,3.4245,0
B,4685,0,0.10713,1,44,9,233600,28789.37,1460,16,0.297418,3.8889,0
A,868,0,0.106192,1,64,8,3737600,100685.2,1460,128,0.046318,3.4206,0
B,4685,0,0.10581,1,44,9,231680,24820.26,1460,16,0.298287,3.889,0
A,868,0,0.111132,1,64,7,3737600,131988.8,1460,128,0.042808,3.3994,0
B,4685,0,0.110305,1,44,9,233600,28789.37,1460,16,0.302531,3.8899,0
A,0,0,0.000104,0,64,0,0,0,0,1,0.000015,0,0
B,0,0,0.0001,1,44,3,1039,1039,0,1,0.000269,0,0
A,868,0,0.118482,0,64,8,3737600,34607.77,1460,128,0.05229,3.4126,0
B,4685,0,0.115056,1,44,13,231680,19435.32,1460,16,0.29266,3.89,0
A,868,0,0.117782,1,64,7,3737600,131751.6,1460,128,0.004964,3.4153,0
B,4485,0,0.107055,1,43,9,233600,28789.37,1460,16,0.324944,3.8896,0
A,868,0,0.120491,0,64,7,3737600,45344.89,1460,128,0.107522,3.4497,0
B,4685,0,0.128896,1,44,12,233600,20880.82,1460,16,0.296215,3.8902,0
A,1385,0,0.210621,1,64,7,3737600,100563.8,1460,128,0.828293,3.2477,0
B,4485,0,0.225425,1,44,8,231680,28558.07,1460,16,0.30673,3.8866,0
A,0,0,0.000043,0,64,0,0,0,0,1,0.000018,0,0
B,0,0,0.00004,1,44,3,1047,1047,0,1,0.000112,0,0
A,0,0,0.000005,0,64,0,0,0,0,1,0.000029,0,0
B,0,0,0.000014,1,44,3,1047,1047,0,1,0.000014,0,0
A,0,0,0.000031,0,64,0,0,0,0,1,0.000011,0,0
B,0,0,0.000029,1,44,3,1039,1039,0,1,0.000079,0,0
A,0,0,0.000121,0,64,0,0,0,0,1,0.000017,0,0
B,0,0,0.000117,2,44,3,1047,1047,0,1,0.000316,0,0
A,0,0,0.000011,0,64,0,0,0,0,1,0.00002,0,0
B,0,0,0.000012,1,43,3,1047,1047,0,1,0.000029,0,0
A,0,0,0.000022,0,64,0,0,0,0,1,0.000013,0,0
B,0,0,0.000024,1,44,3,1039,1039,0,1,0.000062,0,0
A,0,0,0,65535,64,0,0,0,0,1,0.000015,0,0
B,0,0,0,65535,44,1,1039,1039,0,1,0,0,0
A,0,0,0,65535,64,0,0,0,0,1,0.000015,0,0
B,0,0,0,65535,44,1,1039,1039,0,1,0,0,0
A,0,0,0,65535,64,0,0,0,0,1,0.000018,0,0
B,0,0,0,65535,44,1,1047,1047,0,1,0,0,0
