dir,numBytesSnt,minPktSz,stdIAT,ipMindIPID,ipMaxTTL,tcpPSeqCnt,tcpInitWinSz,tcpAveWinSz,tcpMSS,tcpWS,tcpRTTAckTripMax,entropy,class
A,920,0,0.014235,0,64,5,3737600,164711,1460,128,0.002377,3.8792,0
B,807,0,0.014228,1,122,6,15409152,2641796,1380,256,0.035158,3.9822,0
A,928,0,0.006474,0,64,7,3737600,72686.41,1460,128,0.015709,3.4363,0
B,7016,0,0.009809,1,58,10,14827520,628236.4,1460,512,0.017008,3.8575,0
A,1385,0,0.051433,0,64,6,3737600,64100.16,1460,128,0.226533,3.2375,0
B,4187,0,0.06192,1,54,8,3706880,333553.1,1460,128,0.023192,3.8946,0
A,3977,0,3.940697,1,64,14,3737600,42202.31,1460,128,11.12935,3.9726,0
B,1695,0,4.259473,1,45,10,7157760,74921.27,1410,256,3.280518,3.9934,0
A,920,0,0.013949,0,64,5,3737600,164711,1460,128,0.002381,3.8676,0
B,807,0,0.013971,1,122,6,15409152,2641796,1380,256,0.034513,3.9832,0
A,835,0,0.009039,0,64,7,3737600,94449.49,1460,128,0.027294,3.441,0
B,7016,0,0.012605,1,58,8,14827520,1249503,1460,512,0.016747,3.8618,0
A,674,0,1.572942,0,64,6,3737600,123208.7,1460,128,5.902387,3.1746,0
B,4116,0,1.890507,1,54,7,3706880,462651.8,1460,128,0.023256,3.8931,0
A,1656,0,15.81667,0,64,28,3737600,56676.28,1460,128,58.99942,3.5982,0
B,65696,0,16.28456,1,56,31,33553920,150030.7,1460,512,0.060105,3.996,0
A,1050,0,0.020885,1,64,8,3737600,144387.9,1460,128,0.05266,3.6083,0
B,3870,0,0.029166,1,49,6,14827520,1762400,1460,512,0.040235,3.9066,0
A,1050,0,0.016424,1,64,7,3737600,188999.1,1460,128,0.072623,3.5825,0
B,3871,0,0.030858,1,46,5,14827520,2508495,1460,512,0.039068,3.9087,0
A,1050,0,0.01793,1,64,7,3737600,188999.1,1460,128,0.077953,3.614,0
B,3871,0,0.033471,1,46,5,14827520,2508495,1460,512,0.038655,3.9081,0
A,1050,0,0.020891,1,64,7,3737600,189211.1,1460,128,0.040671,3.6124,0
B,3871,0,0.026825,1,49,5,14827520,2508495,1460,512,0.040184,3.9137,0
A,1050,0,0.022477,1,64,7,3737600,188872.6,1460,128,0.040263,3.6091,0
B,3870,0,0.029228,1,46,6,14827520,1762400,1460,512,0.040285,3.9092,0
A,1050,0,0.017004,1,64,7,3737600,189211.1,1460,128,0.044633,3.6275,0
B,3871,0,0.028319,1,46,5,14827520,2508495,1460,512,0.041598,3.9101,0
A,920,0,0.010821,0,64,5,3737600,115297.7,1460,128,0.021249,3.892,0
B,807,0,0.017046,1,122,7,15409152,1868150,1380,256,0.03535,3.9762,0
A,1104,0,0.014828,1,64,6,3737600,252602.9,1460,128,0.015968,3.8793,0
B,3871,0,0.015854,1,46,5,14827520,2508678,1460,512,0.040642,3.9079,0
A,1104,0,0.015028,1,64,7,3737600,188569.6,1460,128,0.013277,3.8922,0
B,3871,0,0.01776,1,46,6,14827520,1762583,1460,512,0.040414,3.9115,0
A,1215,0,0.429408,1,64,16,3737600,51814.78,1460,128,0.041863,3.6054,0
B,6245,0,0.474632,1,234,14,6872832,67362.94,1460,256,2.000589,3.8853,0
A,674,0,1.623984,0,64,5,3737600,168032,1460,128,5.899511,3.1441,0
B,4116,0,1.972077,1,54,6,3706880,648039.8,1460,128,0.02444,3.8956,0
A,674,0,1.452206,0,64,7,3737600,92097.88,1460,128,5.601392,3.1681,0
B,4374,0,1.709809,1,54,8,3706880,332880.3,1460,128,0.193461,3.8967,0
A,2004,0,2.818974,1,64,7,3737600,194397.1,1460,128,0.039079,3.8494,0
B,8652,0,2.702304,1,52,10,13590528,404368.8,8860,512,9.999119,3.9526,0
A,2111,0,2.818906,1,64,7,3737600,195995,1460,128,0.024609,3.8605,0
B,9867,0,2.702288,1,52,10,13590528,404368.8,8860,512,9.999263,3.9552,0
A,1976,0,1.661468,1,64,31,3737600,179420.2,1460,128,0.118856,3.8638,0
B,75848,0,1.61769,1,51,34,14827520,22860.32,1460,512,9.999999,3.9486,0
A,1233,0,1.881651,1,64,8,3737600,144828.5,1460,128,0.043421,3.6764,0
B,3790,0,2.110283,1,45,7,14827520,1240239,1460,512,6.956514,3.9055,0
A,1405,0,18.23146,1,64,20,3737600,35928.57,1460,128,59.21175,3.9212,0
B,2572,0,19.67269,1,122,18,15409152,81740.8,1380,256,0.034546,3.9908,0
A,1507,0,2.046044,1,64,6,3737600,252744.6,1460,128,0.03931,3.7743,0
B,3790,0,2.187222,1,49,6,14827520,1762741,1460,512,6.980379,3.9026,0
A,1776,0,1.706416,1,64,9,3737600,91798.49,1460,128,0.243173,3.8347,0
B,3790,0,1.947945,1,46,8,14827520,874725.9,1460,512,6.752616,3.9025,0
A,996,0,2.669745,1,64,7,3737600,136517.8,1460,128,1.833585,3.8583,0
B,1070,0,2.884532,1,52,8,13590528,803744.6,8860,512,9.957646,3.9861,0
A,1541,0,2.390247,1,64,12,3737600,73254.98,1460,128,0.409704,3.7581,0
B,6739,0,2.699274,1,51,10,14827520,440148.7,1460,512,10.00768,3.8995,0
A,2993,0,2.083114,1,64,18,3737600,55724.73,1460,128,2.024263,3.732,0
B,7636,0,2.454435,1,52,13,13590528,156461.3,8860,512,9.999713,3.8842,0
A,10384,0,2.273039,1,64,14,3737600,56559.21,1460,128,1.803571,3.9681,0
B,5936,0,2.389547,1,52,14,13590528,125324.3,8860,512,9.999414,3.9233,0
A,3363,0,2.502977,1,64,11,3737600,93858.17,1460,128,4.130975,3.9656,0
B,14157,0,2.610835,1,51,12,14827520,228080.7,1460,512,9.735571,3.9992,0
A,1729,0,0.01206,1,64,6,3737600,253648.2,1460,128,0.004686,3.8374,0
B,5369,0,0.012857,1,50,7,134215680,15900000,1460,2048,0.031664,3.9388,0
A,1446,0,18.58794,1,64,20,3737600,48479.56,1460,128,58.98896,3.7377,0
B,4997,0,22.31862,1,122,12,15409152,212063.2,1380,256,0.056727,3.9982,0
A,1450,0,19.91133,1,64,15,3737600,39640.25,1460,128,58.96061,3.9293,0
B,1829,0,21.69204,1,111,15,15972352,174138.4,1430,256,0.053866,3.9869,0
A,9830,0,2.266174,1,64,13,3737600,47847.52,1460,128,1.704791,3.9943,0
B,3008,0,2.446684,1,50,13,13590528,170842.5,8860,512,9.999649,3.9969,0
A,674,0,1.682553,1,64,6,3737600,250293.9,1460,128,5.840327,3.1659,0
B,3120,0,1.951585,1,52,6,13590528,2309717,8860,512,0.019959,3.8342,0
A,10687,0,1.948037,1,64,23,3737600,68378.56,1460,128,3.219214,3.9282,0
B,8562,0,2.221509,1,52,18,14827520,61543.57,1460,512,9.999555,3.9301,0
A,651,0,1.77008,1,64,5,3737600,335557.3,1460,128,5.786456,3.7716,0
B,156,0,1.93914,1,52,6,14827520,2517192,1460,512,0.098033,3.8008,0
A,2256,0,4.412689,1,64,15,3737600,48332.17,1460,128,10.17008,3.6688,0
B,5352,0,4.543097,1,46,9,7208960,56086.32,1420,256,3.706779,3.866,0
A,1498,0,4.547819,1,64,13,3737600,56531.1,1460,128,10.20041,3.7589,0
B,5447,0,4.589259,1,241,8,447360,24272.19,1410,16,3.701644,3.9034,0
A,792,0,0.017468,1,64,7,3737600,186262.8,1460,128,0.003876,3.4902,0
B,3431,0,0.013465,1,122,6,15409152,2641452,1380,256,0.055954,3.9979,0
A,1824,0,4.30636,1,64,17,3737600,50728.66,1460,128,11.12925,3.8333,0
B,7137,0,4.539454,1,46,11,14438400,55705.41,1410,512,2.575376,3.8792,0
A,5802,0,3.55699,1,64,36,3737600,133884.8,1460,128,11.12833,3.9703,0
B,49581,0,3.780297,1,47,29,14438400,30334.83,1410,512,2.732032,3.9141,0
A,16582,0,2.515242,1,64,78,3737600,229764.6,1460,128,10.19108,3.8374,0
B,146890,0,2.599668,1,46,72,7157760,50589.67,1410,256,8.013675,3.8571,0
A,6043,0,2.844639,1,64,17,3737600,40468.42,1460,128,9.492504,3.973,0
B,2209,0,3.235095,1,52,13,14827520,171068.4,1460,512,9.999957,3.9916,0
A,1008,0,0.011179,0,64,7,3737600,46573.78,1460,128,0.026433,3.8501,0
B,7807,0,0.013967,1,122,12,16776960,845945.2,1440,256,0.029561,3.897,0
A,0,0,0,65535,64,0,0,0,0,1,0.000018,0,0
B,38,38,0,65535,121,1,2049,2049,0,1,0,3.527,0
A,1183,0,0.522608,1,64,9,3737600,104397.8,1460,128,0.002375,3.8812,0
B,479,0,0.537756,1,234,9,6872832,297060.2,1460,256,2.000736,3.9588,0
A,2690,0,4.957428,1,64,60,3737600,353253.2,1460,128,0.17866,3.8255,0
B,210997,0,4.039032,1,59,95,3706880,24012.34,1460,128,39.99833,3.9046,0
A,1341,0,9.356642,1,64,13,3737600,71837.61,1460,128,0.002364,3.771,0
B,10235,0,9.598296,1,55,14,3706880,47362.2,1460,128,40.11583,3.9984,0
A,641,0,1.441235,0,64,4,3737600,228519.6,1460,128,4.920233,3.767,0
B,183,0,1.559618,1,57,7,3706880,462651.8,1460,128,0.128195,3.8785,0
A,642,0,1.68323,0,64,4,3737600,228519.6,1460,128,5.806119,3.7554,0
B,183,0,1.821444,1,54,7,3706880,462651.8,1460,128,0.064604,3.8622,0
A,1221,0,10.49229,1,64,9,3737600,106829.5,1460,128,0.005455,3.8913,0
B,1718,0,10.82981,1,59,10,3706880,126646.9,1460,128,40.01495,3.9922,0
A,1970,0,2.930998,1,64,6,3737600,251223.2,1460,128,0.012219,3.9647,0
B,5701,0,2.901841,1,50,8,13590528,803046.4,8860,512,9.999527,3.9983,0
A,1941,0,2.820056,1,64,7,3737600,189956.6,1460,128,0.011528,3.9635,0
B,7157,0,2.798347,1,50,9,13590528,568583.7,8860,512,9.999558,3.9991,0
A,1895,0,1.914777,1,64,22,3737600,171653.4,1460,128,0.078443,3.9543,0
B,70264,0,1.789207,1,51,28,14827520,23607.72,1460,512,9.999624,3.9992,0
A,1554,0,2.147453,1,64,15,3737600,158042.8,1460,128,0.225978,3.85,0
B,69807,0,1.970133,1,51,22,14827520,28004.54,1460,512,9.914517,3.9992,0
A,1531,0,2.374077,1,64,11,3737600,73488.99,1460,128,10.00254,3.9312,0
B,6712,0,2.601772,1,51,11,14827520,315150.2,1460,512,0.022252,3.899,0
A,2146,0,2.444791,1,64,10,3737600,83730.7,1460,128,0.244,3.8551,0
B,6739,0,2.69736,1,51,10,14827520,440471.9,1460,512,9.951378,3.9145,0
A,2219,0,2.317099,1,64,13,3737600,54191.45,1460,128,0.820624,3.921,0
B,3337,0,2.59528,1,52,11,13590528,291895.4,8860,512,9.999858,3.9953,0
A,19850,0,1.874483,1,64,23,3737600,42843.24,1460,128,0.928741,3.9941,0
B,6501,0,1.944305,1,52,23,13590528,54233.88,8860,512,9.999697,3.9964,0
A,2880,0,2.774133,1,64,7,3737600,180964.4,1460,128,0.927313,3.9802,0
B,897,0,2.884976,1,52,8,13590528,805378.7,8860,512,9.957415,3.9844,0
A,651,0,1.727974,1,64,5,3737600,335557.3,1460,128,5.64594,3.773,0
B,156,0,1.892781,1,52,6,14827520,2517192,1460,512,0.098018,3.7689,0
A,1076,0,0.03306,1,64,6,3737600,252631.7,1460,128,0.027912,3.5944,0
B,3924,0,0.034419,1,51,5,14827520,2508495,1460,512,0.086914,3.9111,0
A,1076,0,0.033374,1,64,7,3737600,188598.5,1460,128,0.018443,3.5979,0
B,3924,0,0.039032,1,49,6,14827520,1762400,1460,512,0.088268,3.9111,0
A,1156,0,0.032497,1,64,6,3737600,252631.7,1460,128,0.04123,3.6514,0
B,3924,0,0.036217,1,51,5,14827520,2508495,1460,512,0.087272,3.9067,0
A,1202,0,0.035128,1,64,7,3737600,143906.2,1460,128,0.032565,3.6339,0
B,3923,0,0.042074,1,49,8,14827520,874777.6,1460,512,0.088395,3.9088,0
A,14443,0,2.127068,1,64,33,3737600,44828.95,1460,128,8.795093,3.9767,0
B,4905,0,2.477464,1,52,24,14827520,50949.23,1460,512,9.99973,3.9943,0
A,642,0,1.434709,0,64,4,3737600,228519.6,1460,128,4.938667,3.7428,0
B,183,0,1.551216,1,54,7,3706880,462651.8,1460,128,0.064023,3.7651,0
A,2167,0,2.692002,1,64,8,3737600,136754.2,1460,128,0.041916,3.963,0
B,861,0,2.902239,1,52,8,14827520,875782,1460,512,9.958154,3.9834,0
A,1970,0,2.82076,1,64,7,3737600,187635.3,1460,128,0.013933,3.9631,0
B,5627,0,2.799081,1,50,9,13590528,568583.7,8860,512,9.999732,3.9989,0
A,1941,0,2.926668,1,64,6,3737600,251055,1460,128,0.014724,3.9619,0
B,5578,0,2.897449,1,50,8,13590528,803046.4,8860,512,10,3.9991,0
A,1785,0,2.454207,1,64,11,3737600,70779.33,1460,128,0.193819,3.9316,0
B,2645,0,2.694167,1,52,10,13590528,406183.1,8860,512,9.999634,3.9944,0
A,1075,0,2.783385,1,64,7,3737600,180964.4,1460,128,0.28005,3.88,0
B,879,0,2.897479,1,52,8,13590528,803744.6,8860,512,9.958896,3.9868,0
A,16174,0,1.904881,1,64,22,3737600,41672.11,1460,128,0.525541,3.9949,0
B,6481,0,1.977087,1,52,22,13590528,47356.87,8860,512,9.999873,3.995,0
A,1125,0,0.033926,1,64,6,3737600,252631.7,1460,128,0.015823,3.885,0
B,3924,0,0.038017,1,51,5,14827520,2508495,1460,512,0.087267,3.9076,0
A,1205,0,0.035298,1,64,6,3737600,252631.7,1460,128,0.004009,3.8978,0
B,3924,0,0.036386,1,49,5,14827520,2508495,1460,512,0.089534,3.9052,0
A,1125,0,0.035074,1,64,6,3737600,252631.7,1460,128,0.003853,3.8948,0
B,3924,0,0.036549,1,49,5,14827520,2508495,1460,512,0.088571,3.9068,0
A,1125,0,0.255536,1,64,8,3737600,144196,1460,128,0.040106,3.8969,0
B,3924,0,0.278518,1,49,7,14827520,1240239,1460,512,0.963611,3.9024,0
A,1527,0,4.775305,1,64,21,3737600,47537.04,1460,128,11.04677,3.745,0
B,6063,0,4.749889,1,47,9,7157760,27542.19,1410,256,6.48976,3.9059,0
A,868,0,0.011106,0,64,5,3737600,117374.4,1460,128,0.007756,3.415,0
B,3769,0,0.012833,1,234,8,6872832,592520.9,1460,256,0.030051,3.8839,0
A,868,0,0.012259,0,64,6,3737600,122854.4,1460,128,0.011413,3.4088,0
B,3769,0,0.014905,1,234,8,6872832,592370.4,1460,256,0.029487,3.887,0
A,861,0,0.009866,0,64,5,3737600,115096.2,1460,128,0.005525,3.8295,0
B,263,0,0.010822,1,122,7,15409152,1867924,1380,256,0.027519,3.7269,0
A,642,0,1.631767,0,64,4,3737600,159963.7,1460,128,5.8904,3.7613,0
B,183,0,1.750255,1,54,8,3706880,332880.3,1460,128,0.064736,3.8296,0
A,1416,0,0.420615,1,64,16,3737600,40236.52,1460,128,0.043552,3.8612,0
B,926,0,0.462244,1,229,14,6872832,67518.58,1460,256,1.956777,3.932,0
A,3271,0,2.714429,1,64,8,3737600,151590.7,1460,128,0.015954,3.9867,0
B,11265,0,2.79162,1,52,9,13590528,569945.5,8860,512,9.999644,3.9998,0
A,2219,0,2.311986,1,64,13,3737600,54191.45,1460,128,0.160479,3.9412,0
B,3337,0,2.606978,1,50,11,13590528,291895.4,8860,512,9.955864,3.9963,0
A,23147,0,1.7201,1,64,28,3737600,55864.55,1460,128,2.794789,3.9659,0
B,10178,0,1.831663,1,52,28,13590528,52965.73,8860,512,9.958029,3.8911,0
A,640,0,1.516976,1,64,5,3737600,335557.3,1460,128,4.973592,3.7508,0
B,156,0,1.660532,1,52,6,13590528,2307587,8860,512,0.055763,3.8093,0
A,868,0,0.011906,1,64,8,3737600,142496.7,1460,128,0.006307,3.4006,0
B,3740,0,0.012986,1,229,8,6872832,592626.3,1460,256,0.030003,3.8874,0
A,1075,0,0.032272,1,64,7,3737600,4729236,1460,128,0.004232,3.5897,0
B,4667,0,0.031503,1,242,12,4380,5375.146,1460,1,0.084238,3.8946,0
A,1075,0,0.031794,1,64,7,3737600,4729236,1460,128,0.007546,3.5742,0
B,4667,0,0.032493,1,242,12,4380,5389.299,1460,1,0.08423,3.8906,0
A,1024,0,1.39458,1,64,7,3737600,187382.6,1460,128,0.062265,3.5488,0
B,4144,0,1.349958,1,247,11,8760,5431.38,1460,2,4.962567,3.9044,0
A,646,0,1.770614,1,64,5,3737600,335557.3,1460,128,5.810465,3.7737,0
B,156,0,1.93982,1,50,6,13590528,2309717,8860,512,0.058011,3.7918,0
A,1681,0,4.593823,1,64,30,3737600,125533.1,1460,128,10.22116,3.9184,0
B,74730,0,4.44942,1,55,30,3706880,33539.11,1460,128,0.023437,3.9991,0
A,950,0,4.750921,0,64,24,3737600,50745.86,1460,128,10.22011,3.5125,0
B,35882,0,4.786613,1,55,19,14827520,31912.46,1460,512,0.021394,3.9343,0
A,1436,0,4.758681,1,64,21,3737600,38088.26,1460,128,11.24505,3.7499,0
B,10605,0,4.790647,1,55,11,3706880,35178.59,1460,128,0.021486,3.9362,0
A,1145,0,4.801896,1,64,18,3737600,47105.15,1460,128,10.22105,3.7027,0
B,5732,0,4.721463,1,55,9,3706880,25960.54,1460,128,0.295624,3.9986,0
A,1092,0,4.79406,1,64,22,3737600,59058.89,1460,128,11.24117,3.6235,0
B,26216,0,4.905351,1,54,16,3706880,31596.68,1460,128,0.023856,3.9776,0
A,1125,0,4.818887,1,64,18,3737600,48011.54,1460,128,10.22148,3.6665,0
B,7199,0,4.654126,1,112,9,2097152,134276.2,1440,256,0.059658,3.9035,0
A,1643,0,4.788868,1,64,23,3737600,82701.69,1460,128,10.21836,3.815,0
B,43256,0,4.830857,1,54,15,3706880,32954.36,1460,128,0.025004,3.98,0
A,2128,0,4.704731,0,64,25,3737600,53868.38,1460,128,10.21841,3.8024,0
B,40640,0,4.797258,1,54,16,3706880,33618.68,1460,128,0.240799,3.9358,0
A,2129,0,4.577226,1,64,31,3737600,93286.13,1460,128,10.21825,3.814,0
B,51191,0,4.578953,1,54,25,3706880,32269.6,1460,128,0.023238,3.9391,0
A,1733,0,4.746924,1,64,25,3737600,82662.9,1460,128,10.21826,3.8146,0
B,43273,0,4.795991,1,54,17,3706880,32491.86,1460,128,0.023462,3.9589,0
A,1159,0,4.820982,1,64,20,3737600,66777.09,1460,128,10.21709,3.647,0
B,31497,0,4.830881,1,54,14,3706880,32109.48,1460,128,0.026342,3.9825,0
A,2127,0,4.814304,1,64,21,3737600,58025.1,1460,128,10.21725,3.8079,0
B,25359,0,4.759225,1,54,11,3706880,36199,1460,128,0.026161,3.9938,0
A,1207,0,4.751245,1,64,16,3737600,24904.4,1460,128,10.20347,3.902,0
B,460,0,4.361896,1,57,7,3706880,43573.19,1460,128,0.044383,3.9565,0
A,3736,0,4.517614,1,64,31,3737600,46847.43,1460,128,10.20312,3.8101,0
B,9688,0,4.687138,1,57,17,3706880,37954.61,1460,128,0.039384,3.9015,0
A,0,0,0,65535,64,0,3737600,3737600,1460,128,0,0,0
A,0,0,0,65535,64,0,3737600,3737600,1460,128,0,0,0
A,2464,0,11.90264,1,64,42,3737600,190729,1460,128,58.78917,3.5944,0
B,106890,0,10.58299,1,122,58,16776960,183536.2,1440,256,5.253474,3.9097,0
A,975,0,4.783941,1,64,17,3737600,52307.05,1460,128,10.22486,3.5058,0
B,6810,0,4.764445,1,246,10,7413760,39645.03,1460,256,0.01762,3.9117,0
A,2112,0,18.59447,1,64,13,3737600,61103.98,1460,128,58.794,3.8426,0
B,6427,0,20.01097,1,112,12,16776960,592655.8,1440,256,9.089972,3.9092,0
A,1459,0,19.07921,1,64,12,3737600,68471.52,1460,128,58.72671,3.7215,0
B,6634,0,21.09024,1,110,11,2097152,235656.4,1440,256,10.09688,3.9071,0
A,2137,0,17.83019,1,64,15,3737600,55563.12,1460,128,58.76119,3.7662,0
B,7635,0,20.07506,1,112,13,16776960,592484.3,1440,256,10.87143,3.9004,0
A,3398,0,15.02403,1,64,24,3737600,145859.4,1460,128,58.78887,3.647,0
B,60516,0,14.13778,1,122,31,16776960,367232.2,1440,256,7.749297,3.9086,0
A,16960,0,8.81289,0,64,114,3737600,63397.37,1460,128,58.15297,3.5848,0
B,139381,0,9.315485,1,47,104,7157760,107715.1,1410,256,0.221869,3.9991,0
A,13793,0,2.258755,1,64,391,3737600,294425.4,1460,128,5.49235,3.8346,0
B,784079,0,2.119701,1,59,449,3706880,112984.1,1460,128,39.99308,3.8381,0
A,1164,0,7.809554,1,64,21,3737600,138221.4,1460,128,0.00826,3.58,0
B,57333,0,7.809512,1,57,23,3706880,23583.76,1460,128,40.00594,3.9346,0
A,2063,0,4.937312,1,64,389,3737600,972368,1460,128,58.28756,3.606,0
B,839730,0,4.75688,1,241,424,114524160,32768,1410,4096,0.13462,3.9987,0
A,2042,0,3.29809,1,64,142,3737600,480481.2,1460,128,0.935712,3.5665,0
B,317881,0,3.201785,1,54,151,3706880,26342.37,1460,128,39.9925,3.8911,0
A,8559,0,1.80507,1,64,484,3737600,587308.2,1460,128,0.399039,3.5632,0
B,1310840,0,1.65756,1,59,563,3706880,48921.36,1460,128,39.91588,3.8771,0
A,1312,0,18.52436,1,64,19,3737600,51187.64,1460,128,58.81334,3.5631,0
B,8360,0,20.91291,1,45,17,114524160,413256.4,1410,4096,0.142649,3.8847,0
A,4133,0,8.843718,1,64,115,3737600,331085.3,1460,128,58.90545,3.6053,0
B,264845,0,9.354173,1,46,102,114524160,40959.95,1410,4096,0.142165,3.8727,0
A,1735,0,4.679146,1,64,68,3737600,186786.8,1460,128,1.614191,3.913,0
B,134767,0,4.812778,1,55,63,3706880,23116.8,1460,128,39.99962,3.9909,0
A,1529,0,15.05553,1,64,35,3737600,94815.87,1460,128,58.69363,3.6448,0
B,26501,0,15.26212,1,122,35,15409152,63528.67,1380,256,0.056332,3.9982,0
A,3408,0,8.227674,1,64,133,3737600,451588.8,1460,128,58.4169,3.601,0
B,324456,0,8.616993,1,241,126,114524160,36864,1410,4096,0.133784,3.9987,0
A,1308,0,18.92163,1,64,18,3737600,45586.77,1460,128,58.36936,3.6366,0
B,4301,0,23.35608,1,111,11,15972352,381985.9,1430,256,0.060045,3.9978,0
A,4509,0,17.51536,1,64,41,3737600,38366.9,1460,128,58.98927,3.9287,0
B,3922,0,17.03446,1,122,46,15409152,72914.52,1380,256,0.269926,3.9938,0
A,4288,0,17.50157,1,64,42,3737600,34814.52,1460,128,58.98916,3.941,0
B,3368,0,17.17238,1,122,45,15409152,71652.47,1380,256,0.19125,3.9877,0
A,1709,0,4.725098,1,64,33,3737600,95492.97,1460,128,11.24489,3.9285,0
B,52412,0,4.848757,1,55,24,3706880,33544.23,1460,128,0.020223,3.999,0
A,1127,0,4.746407,1,64,17,3737600,24375.38,1460,128,11.23959,3.8927,0
B,929,0,4.601511,1,57,8,3706880,39780.2,1460,128,0.232461,3.9873,0
A,2411,0,4.765157,0,64,27,3737600,26928.06,1460,128,10.15171,3.7015,0
B,22062,0,4.785646,1,57,17,3706880,35690.99,1460,128,0.095837,3.9475,0
A,2392,0,16.34557,1,64,43,3737600,40436.39,1460,128,58.97522,3.9047,0
B,3287,0,16.85834,1,122,41,15409152,44804.79,1380,256,4.401355,3.9886,0
A,1144,0,19.09613,0,64,14,3737600,17915.97,1460,128,58.80113,3.5798,0
B,14829,0,20.38522,1,56,17,33553920,227177.1,1460,512,0.058553,3.9977,0
A,2176,0,4.627631,1,64,12,3737600,58214.91,1460,128,10.21223,3.8933,0
B,5612,0,4.702116,1,234,9,6872832,97179.71,1460,256,9.06455,3.9309,0
A,1239,0,18.8154,0,64,16,3737600,18826.3,1460,128,58.80049,3.6608,0
B,7179,0,20.83529,1,56,17,33553920,260423.1,1460,512,0.0164,3.9985,0
A,1166,0,19.56849,0,64,15,3737600,20526.8,1460,128,58.78906,3.8959,0
B,1602,0,21.754,1,89,14,7106560,69783.95,1400,256,0.065591,3.9516,0
A,1319,0,20.26477,0,64,13,3737600,29338.76,1460,128,58.78617,3.8796,0
B,4893,0,19.99171,1,49,18,3706880,18698.46,1460,256,0.066919,3.8922,0
A,1551,0,4.569897,1,64,12,3737600,54526.77,1460,128,10.21187,3.4171,0
B,6679,0,4.654094,1,229,9,6872832,95460.02,1460,256,9.262157,3.9542,0
A,1421,0,19.54831,0,64,14,3737600,19870.55,1460,128,58.86779,3.9369,0
B,5344,0,20.91984,1,56,17,33553920,259942.5,1460,512,0.059553,3.998,0
A,1383,0,18.55098,1,64,20,3737600,58864.54,1460,128,58.79238,3.9173,0
B,11543,0,22.27984,1,51,13,67107840,698200.8,1460,1024,0.028017,3.9973,0
